account	justificar
come up against	competir con
come up with	inventar se
come up with	elaborar
come up with	conseguir
cover up	tapar
cover up	cubrir
cover up	esconder
cover up	encubrir
cover up	tapar se
cover up	cubrir se
count on	contar con
count on	confiar en
count on	fiar se de
crack down on	tomar medidas contra
crack down on	acabar con
crack down on	castigar
crack down on	castigar a
cross off	tachar
cross off	tachar a
cross off	tildar 
cross off	tildar a
cross off	eliminar
cross off	eliminar a
cross out	tachar
cross out	tachar a
cry out	gritar
cry out	chillar
cry out for	pedir a gritos
cry out for	clamar 
curl up	acurrucar se
curl up 	enroscar se
curl up	enrollar se
cut back	recortar
cut back	restringir
cut back	reducir
cut back on	recortar en
cut down	bajar
cut down	reducir
cut down	talar
cut down	cortar
cut down	matar a
cut down	liquidar a
cut down	derribar a
cut down on	recortar
cut down on	recortar en
cut down on	reducir en
cut in	adelantar se
cut in	colar se
cut in	interponer se
cut in	cortar
cut in	entrometer se en
cut in	compartir se con
cut off	amputar se
cut off	amputar
cut off	cortar se
cut off	cortar
cut off	repudiar a
cut off	apartar se de
cut off	distanciar se de
cut off	caer se
cut off	desconectar se
cut off	interrumpir a
cut off	interrumpir
cut out	recortar
cut out	sacar
cut out	eliminar
cut out	suprimir
cut out	cortar
cut out	dejar
cut out	cortar se
cut out	pirar se
cut up	trocear
cut up	picar
cut up	estar fatal
date back to	datar de
date back to	existir desde
date back to	remontar se a
date back to	ser de
date from	datar de
dawn on	ocurrir a
deal in	incluir
deal in	incluir a
deal in	tratar con
deal in	lidiar con
deal in	integrar a
deal with	lidiar con
deal with	resolver
deal with	ocupar se de
deal with	negociar con
deal with	tratar
deal with	tratar con
deal with	encargar se de
deal with	manejar
deal with	soportar a
deal with	soportar
deal with	hacer frente a
deal with	poder con
decide on	optar por
decide on	escoger
decide on	elegir
delight in	deleitar se con
delve into	indagar en
depend on	confiar en
depend on 	contar con
depend on	depender de
deter from	disuadir de
devote to	dedicar a
die away	morir
die away	difuminar se
die away	desvanecer se
die down	disminuir
die down	apagar se
die off	desvanecer se
die off	extinguir se
die off	desaparecer
die off	perder se
die out	extinguir se
die out	desaparecer
die out	perder se
dig in	atacar
dig in	empezar a comer
dig in	instalar se
dig into	instalar se en
dig in	establecer se
dig into	establecer se en
dig in	atrincherar se
dig into	atrincherar se en
dig in	no ceder
dig up	exhumar
dig up	desenterrar
dig up	revelar
dig up	exponer
dig up	descubrir
dip into	hojear
dip into	recurrir a
dish out	servir
dish out	repartir
dispose of	deshacer se de
dispose of	acabar con
dispose of	terminar con
dispose of	tirar
dispose of	deshechar
divide up	dividir
divide up	repartir
divide up	separar
do over	rehacer
do away with	eliminar
do away with	eliminar a
do away with	acabar con
