account	justificar
talk out of	disuadir de
talk out of	convencer de
talk out of	desaconsejar de
talk over	hablar sobre
talk over	pisar
talk round	llegar a convencer a
talk round	llegar a convencer de
talk up	hablar claro
talk up	hablar más alto
talk up	ensalzar
talk up	levantar la voz
talk up	insolentar se
tear apart	despedazar
tear apart	machacar
tear apart	desgarrar
tear apart	hacer polvo
tear apart	rasgar
tear apart	desgarrar a
tear apart	destrozar a
tear apart	destrozar
tear apart	destruir a
tear down	demoler
tear down	derribar
tear down	tirar abajo
tear down	hacer una crítica demoledora
tear down	destrozar a
tear down	echar abajo a
tear down	tirar abajo a
tear down	despedazar
tear down	despedazar a
tear up	hacer mierda
tear up	lagrimear
tell apart	diferenciar
tell apart	distinguir
tell off	reñir
tell off	regañar
tell off	retar
tell on	afectar
tell on	chivar se 
think back	recordar
think back	rememorar
think of	considerar la posibilidad de
think of	concebir
think over	pensar en
think over	pensar
think up	pensar en
throw away	tirar
throw away	desaprovechar
throw away	malgastar
throw away	desperdiciar
throw back	devolver
throw back	apurar
throw in	agregar
throw in	incluir
throw in	añadir
throw off	desechar
throw off	confundir
throw off	descolocar
throw off	embarullar
throw on	poner se
throw out	tirar
throw out	rechazar
throw out	desechar
throw out	dejar caer
throw up	vomitar
throw up	devolver
throw up	buitrear
throw up	lanzar
tick away	pasar
tick off	tildar
tick off	marcar
tick off	cabrear a
tick off	echar la bronca a
tidy up	organizar
tidy up	arreglar
tidy up	asear
tidy up	ordenar
tie up	atar
tie up	amarrar
tie up	concluir
tip off	avisar a
tip off	prevenir a
tip off	avisar de
tip off	prevenir sobre
top up	recargar
top up	rellenar
touch on	tocar brevemente
touch on	tocar de paso
touch on	aludir brevemente
touch on	tocar apenas
track down	ubicar a
track down	ubicar
track down	rastrear a
track down	rastrear
track down	localizar
track down	localizar a
try for	intentar
try on	probar se
try out	probar
turn against	poner en contra 
turn against	poner se en contra de
turn around	volver se
turn around	girar sobre
turn around	girar alrededor
turn around	cambiar
turn around	cambiar de opinión
turn away	apartar se
turn away	alejar se de
turn away	apartar se de
turn away	abandonar
turn away	apartar la vista
turn away	volver la espalda
turn back	dar media vuelta
turn back	volver se 
turn back	regresar
turn back	dar se media vuelta
turn down	rechazar
turn down	rechazar a
turn down	doblar
turn down	bajar
turn in	entregar a
turn in	entregar
turn in	acostar se
turn into	virar hacia
turn into	convertir se en
turn into	transformar se en
turn off	desconectar
turn off	apagar
turn off	salir se
turn on	conectar
turn on	encender
turn on	poner
turn out	acudir
turn out	presentar se
turn out	terminar
turn out	acabar
turn out	resultar
turn out	desmoldar
turn out	apagar
turn out	producir
turn out	formar
turn out	vaciar
turn over	voltear se
turn over	dar la vuelta a
turn over	ganar
turn over	facturar
turn over	reflexionar sobre
turn over	voltear
turn to	acudir a
turn to	encomendar se a
turn to	recurrir a
turn to	volver se hacia
turn to	convertir se en
turn up	alzar
turn up	elevar
turn up	aumentar
turn up	subir
turn up	aparecer
turn up	presentar se
urge on	instar a
urge on	alentar
urge on	animar
use up	gastar
use up	usar todo
usher in	escoltar
usher in	hacer pasar
usher in	marcar el comienzo
usher in	marcar el inicio
usher in	dar lugar a
usher in	abrir paso
veg out	holgazanear
veg out	vaguear
verge on	rayar en
verge on	lindar con
vie for	competir por
vie for	luchar por
vote in	elegir por votación
vouch for	dar fe
wait around	quedar se esperando
wait behind	esperar se
wait on	atender
wait on	esperar
wait upon	cumplimentar
wait up	velar
wait up	no acostar se
wake up	despertar se
wake up	desayunar se con
wake up	dar se cuenta de
wake up	despertar
walk about	pasear
walk about	deambular
walk around	dar una vuelta
walk away with	salir
walk away with	llevar se
walk away with	robar
walk away	marchar se
walk away	ir se
walk back	volver a pie
walk down	bajar por
walk down	caminar por
walk in	entrar
walk in	irrumpir
walk in	meter se
walk in	plantar se
walk in	interrumpir a
walk into	tropezar con
walk into	tropezar se con
walk into	entrar caminando
walk off	alejar se caminando
walk off	ir se caminando
walk off	marchar se caminando
walk off	largar se caminando
walk off with	llevar se
walk on	seguir andando
walk out on	finalizar
walk out on	acabar con
walk out on	poner fin a
walk out on	dejar
walk out on	abandonar
walk out	largar se
walk out	desistir
walk out	salir a pie
walk over	pasar por encima
walk over	atravesar
walk over	cruzar
walk over	caminar hacia
walk over	aproximar se
walk over	acercar se
walk through	transitar por
walk through	conducir
walk through	guiar
walk up	acercar se
ward off	repeler
ward off	mantener a raya a
ward off	mantener a raya
warm up	calentar se
warm up	calentar
warm up	recalentar
warm up	animar
warm up	entusiasmar
warm up	entonar
wash away	limpiar
wash away	lavar
wash down	lavar a fondo
wash down	baldear
wash down	bajar
wash out	perder color
wash out	desgastar
wash out	desteñir
wash out	limpiar
wash out	lavar
wash out	sacar
wash out	limpiar de
wash out	enjuagar
wash out	sacar la mancha
wash up	arrastrar
wash up	fregar
wash up	lavar
wash up	lavar la loza
wash up	fregar la loza
wash up	lavar se
wash up	perder eficacia
wash up	venir se a menos
want out	querer salir
want out	querer dejar
waste away	consumir se
waste away	chupar se
watch out	tener cuidado
watch out for	mantener se alerta
watch out for	tener cuidado de
water down	moderar
water down	diluir
water down	suavizar
water down	aguar
wean off	destetar
wear down	desgastar se
wear down	gastar se
wear down	gastar
wear down	desgastar
wear down	agotar
wear off	desaparecer
wear off	desvanecer se
wear off	quitar se
wear off	pasar se
wear out	agotar 
wear out	cansar
wear out	fatigar
wear out	deteriorar se
wear out	gastar
wear out	desgastar
wear out	gastar se
wear out	desgastar se
weed out	hacer limpieza
weed out	erradicar
weed out	extirpar
weed out	deshacer se
weigh down	pesar a
weigh down	pesar
weigh down	agobiar a
weigh down	ahogar a
weigh down	asfixiar a
weigh in	pesar
weigh in	intervenir
weigh in on	discrepar con vehemencia
weigh in on	estar en total desacuerdo
weigh in with	apoyar a
weigh up	sopesar
weigh up	ponderar
whip up	batir
whip up	suscitar
whip up	despertar
whip up	improvar
win back	recuperar
win back	recobrar
win over	convencer
wind down	desinflar se
wind down	quedar sin energía
wind down	perder potencia
wind down	relajar se
wind down	desconectar se
wind up	concluir
wind up	terminar
wind up	acabar
wind up	reventar a
wipe away	secar
wipe away	limpiar
wipe away	eliminar
wipe out	limpiar
wipe out	aniquilar
wipe out	barrer
wise up	madurar
wise up	avivar se
wise up	espabilar se
wise up	entrar en razón
wise up	pensar un poco
wise up	dar el soplo
wise up	chivatear
wise up	pasar el dato
wise up	abrir los ojos
work off	quemar
work off	bajar
work on	esforzar se en
work on	tratar de convencer
work on	persuadir
work on	trabajar se
work out	ejercitar se
work out	resolver
work out	calcular
work out	cuadrar
work out	entrenar
wrap up	envolver
wrap up	cerrar
wrap up	empaquetar
wrap up	redondear
wrap up	abrigar se
wrestle with	pelear se con
wrestle with	luchar con
write down	apuntar
write down	escribir
write down	anotar
write off	declarar siniestro total
write off	defraudar
write off	fundir
write off	ignorar
write off	descartar
write off	enviar a traer
write out	escribir entero
write up	reportar
write up	dar un aviso a
write up	escribir una redacción con
write up	hacer un informe con
yank on	tirar de
yearn for	desear
yearn for	anhelar
yearn for	ansiar
yearn for	morir se por
yell out	gritar
zero in on	centrar se en
zero in on	concentrar se en
zero in on	enfocar se en
zero in on	dirigir la atención hacia
zip up	subir el cierre de
zip up	abrochar
zoom in	hacer zoom
zoom in	cerrar el foco
zoom in	concentrar se en
zoom in	centrar se en
zoom in on	centrar se en
zoom in on	concentrar se en
